1;Private flight;\N;-;N/A;NULL;NULL;Y
2;135 Airways;\N;NULL;GNL;GENERAL;United States;N
3;1Time Airline;\N;1T;RNX;NEXTIME;South Africa;Y
4;2 Sqn No 1 Elementary Flying Training School;\N;NULL;WYT;NULL;United Kingdom;N
5;213 Flight Unit;\N;NULL;TFU;NULL;Russia;N
6;223 Flight Unit State Airline;\N;NULL;CHD;CHKALOVSK-AVIA;Russia;N
7;224th Flight Unit;\N;NULL;TTF;CARGO UNIT;Russia;N
8;247 Jet Ltd;\N;NULL;TWF;CLOUD RUNNER;United Kingdom;N
9;3D Aviation;\N;NULL;SEC;SECUREX;United States;N
10;40-Mile Air;\N;Q5;MLA;MILE-AIR;United States;Y
11;4D Air;\N;NULL;QRT;QUARTET;Thailand;N
12;611897 Alberta Limited;\N;NULL;THD;DONUT;Canada;N
13;Ansett Australia;\N;AN;AAA;ANSETT;Australia;Y
14;Abacus International;\N;1B;NULL;NULL;Singapore;Y
15;Abelag Aviation;\N;W9;AAB;ABG;Belgium;N
16;Army Air Corps;\N;NULL;AAC;ARMYAIR;United Kingdom;N
17;Aero Aviation Centre Ltd.;\N;NULL;AAD;SUNRISE;Canada;N
18;Aero Servicios Ejecutivos Internacionales;\N;NULL;SII;ASEISA;Mexico;N
19;Aero Biniza;\N;NULL;BZS;BINIZA;Mexico;N
20;Aero Albatros;\N;NULL;ABM;ALBATROS ESPANA;Spain;N
21;Aigle Azur;\N;ZI;AAF;AIGLE AZUR;France;Y
22;Aloha Airlines;\N;AQ;AAH;ALOHA;United States;Y
23;Alaska Island Air;\N;NULL;AAK;ALASKA ISLAND;United States;N
24;American Airlines;\N;AA;AAL;AMERICAN;United States;Y
25;Aviation Management Corporation;\N;NULL;AAM;AM CORP;United States;N
26;Atlantis Airlines (USA);\N;NULL;AAO;ATLANTIS AIR;United States;N
27;Aerovista Airlines;\N;NULL;AAP;AEROVISTA GROUP;United Arab Emirates;N
28;Asiana Airlines;\N;OZ;AAR;ASIANA;Republic of Korea;Y
29;Askari Aviation;\N;4K;AAS;AL-AAS;Pakistan;Y
30;Australia Asia Airlines;\N;NULL;AAU;AUSTASIA;Australia;N
31;Astro Air International;\N;NULL;AAV;ASTRO-PHIL;United States;N
32;Afriqiyah Airways;\N;8U;AAW;AFRIQIYAH;Libya;Y
33;Afrinat International Airlines;\N;Q9;AFU;NULL;Gambia;N
34;Afric'air Express;\N;NULL;AAX;AFREX;Ivory Coast;N
35;Allegiant Air;\N;G4;AAY;ALLEGIANT;United States;Y
36;Angus Aviation;\N;NULL;AAZ;ANGUS;Canada;N
37;Artem-Avia;\N;NULL;ABA;ARTEM-AVIA;Ukraine;N
38;African Business and Transportations;\N;NULL;ABB;AFRICAN BUSINESS-;Democratic Republic of the Congo;N
39;Aban Air;\N;K5;ABE;ABAN;Iran;n
40;Aerial Oy;\N;NULL;ABF;SKYWINGS;Finland;N
41;Abakan-Avia;\N;NULL;ABG;ABAKAN-AVIA;Russia;N
42;ABSA - Aerolinhas Brasileiras;\N;M3;TUS;ABSA Cargo;Brazil;Y
43;Abaet;\N;NULL;ABJ;Abaet;Brazil;N
44;Alberta Citylink;\N;NULL;ABK;ALBERTA CITYLINK;Canada;N
45;APSA Colombia;\N;NULL;ABO;AEROEXPRESO;Colombia;N
46;Aerovias Bueno;\N;NULL;ABU;AEROBUENO;Colombia;N
47;Aerocenter;\N;NULL;ACR; Escuela de Formacion de Pioltos Privados de Avion;AEROCENTER;N
